Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
2016
1,Apr 4,@,BAL,"L,2-3",8.2,10,3,3,0,5,10,0,0,3.12,41,150,94,2,0,1,0,36,3,0,0,0,0,0,0,6,Mike Winters,"E.Santana (99-53), R.Pressly (99), C.Fien (99), F.Abad (99), T.May (99), K.Jepsen (99-L)",2016
2,Apr 6,@,BAL,"L,2-4",8.0,9,4,4,0,6,6,1,0,3.78,38,151,84,0,0,0,0,31,3,0,1,0,1,0,1,4,Mark Wegner,"K.Gibson (99-35-L), F.Abad (1), C.Fien (1), R.Pressly (1)",2016
3,Apr 7,@,BAL,"L,2-4",8.0,8,4,4,0,0,7,2,0,4.01,31,124,84,2,2,0,0,31,1,0,0,0,0,0,0,2,Marty Foster,"P.Hughes (99-52-L), T.May (2-BSv)",2016
4,Apr 8,@,KCR,"L,3-4",8.0,9,4,4,0,4,10,0,0,4.13,37,145,85,2,0,0,1,32,2,1,0,0,1,1,0,4,Vic Carapazza,"E.Santana (3-57), R.Pressly (1), F.Abad (1), K.Jepsen (3-BL)",2016
5,Apr 9,@,KCR,"L,0-7",8.0,10,7,5,2,5,8,3,0,4.43,40,170,101,3,1,0,0,35,1,1,0,0,0,1,0,4,D.J. Reyburn,"T.Milone (99-47-L), C.Fien (2), M.Tonkin (99), G.Perkins (99)",2016
6,Apr 10,@,KCR,"L,3-4",9.2,7,4,3,1,2,8,1,0,4.11,38,155,100,0,0,0,0,35,1,1,0,0,1,0,0,4,John Hirschbeck,"R.Nolasco (99-72), K.Jepsen (1-H), G.Perkins (0-BSv), T.May (2-L)",2016
7,Apr 11,,CHW,"L,1-4",9.0,9,4,2,2,5,7,0,1,3.79,43,162,95,1,0,0,0,37,1,0,0,0,0,1,0,3,Kerwin Danley,"K.Gibson (4-49-L), R.Pressly (2), T.May (0)",2016
8,Apr 13,,CHW,"L,0-3",9.0,9,3,3,0,0,8,1,0,3.69,35,130,92,0,0,0,0,35,2,0,0,0,0,0,1,4,Andy Fletcher,"P.Hughes (5-54-L), F.Abad (4), R.Pressly (1), M.Tonkin (3)",2016
9,Apr 14,,CHW,"L,1-3",9.0,9,3,3,0,1,9,1,0,3.61,37,138,92,0,0,1,0,34,2,0,0,1,1,1,1,4,Mark Ripperger,"E.Santana (5-56-L), F.Abad (0), T.May (2), T.Rogers (99)",2016
10,Apr 15,,LAA,"W,5-4",9.0,9,4,4,0,5,4,2,0,3.65,38,144,91,3,0,0,0,32,2,0,0,1,0,0,2,5,Alan Porter,"T.Milone (5-41), R.Pressly (1), T.May (0), C.Fien (5-W), K.Jepsen (4-Sv)",2016
11,Apr 16,,LAA,"W,6-4",9.0,9,4,4,0,3,4,0,0,3.68,37,122,80,0,0,1,1,34,1,0,0,0,0,0,0,3,John Tumpane,"R.Nolasco (5-44), R.Pressly (0-W), K.Jepsen (0-Sv)",2016
12,Apr 17,,LAA,"W,3-2",12.0,4,2,2,0,3,11,1,0,3.44,44,164,108,1,0,0,0,41,2,0,0,0,0,1,0,6,Jeff Kellogg,"K.Gibson (5-63), C.Fien (1), R.O'Rourke (99), K.Jepsen (0), T.May (1), M.Tonkin (3-W)",2016
13,Apr 18,,MIL,"W,7-4",6.0,6,4,3,1,2,6,0,0,3.49,26,88,57,,,0,0,24,3,0,0,0,0,0,0,1,Mike Everitt,P.Hughes (4-50-W),2016
14,Apr 19,,MIL,"L,5-6",9.0,9,6,2,4,4,8,0,0,3.38,39,153,89,1,0,0,0,33,4,0,0,0,2,1,2,5,Tim Timmons,"E.Santana (4-42), F.Abad (4), M.Tonkin (1), R.O'Rourke (1), K.Jepsen (1-L)",2016
15,Apr 20,@,MIL,"L,5-10",8.0,13,10,10,0,6,10,3,0,3.87,41,187,110,3,3,1,1,34,2,0,0,1,0,0,1,5,Sean Barber,"T.Milone (4-42), M.Tonkin (0), R.Pressly (3-L), C.Fien (2), R.O'Rourke (0)",2016
16,Apr 21,@,MIL,"W,8-1",9.0,5,1,1,0,1,9,0,0,3.68,33,124,78,1,0,0,0,32,2,0,0,0,0,0,0,4,Jordan Baker,"R.Nolasco (4-65-W), F.Abad (1-H), T.May (3), C.Fien (0)",2016
