Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
2018
1,Mar 29,@,TOR,"W,6-1",9.0,2,1,1,0,3,12,1,0,1.00,32,136,90,1,0,1,0,29,0,0,0,0,0,0,0,4,Kerwin Danley,"L.Severino (99-71-W), C.Green (99), D.Betances (99), A.Chapman (99)",2018
2,Mar 30,@,TOR,"W,4-2",9.0,5,2,2,0,1,12,1,0,1.50,33,125,92,1,0,0,0,32,4,0,0,0,0,0,0,4,Paul Nauert,"M.Tanaka (99-70-W), T.Kahnle (99-H), D.Robertson (99-H), A.Chapman (0-Sv)",2018
3,Mar 31,@,TOR,"L,3-5",8.0,9,5,4,1,4,9,1,0,2.42,36,138,84,1,1,4,1,32,2,0,0,0,0,1,1,4,Scott Barry,"C.Sabathia (99-53), A.Warren (99), J.Holder (99), D.Betances (1-L)",2018
4,Apr 1,@,TOR,"L,4-7",8.0,12,7,7,0,5,12,2,0,3.71,40,159,99,1,0,0,0,35,1,0,1,0,0,0,0,4,David Rackley,"S.Gray (99-49), C.Green (2), T.Kahnle (1-H), D.Robertson (1-BL)",2018
5,Apr 3,,TBR,"W,11-4",9.0,7,4,4,0,4,11,0,0,3.77,37,137,89,3,2,0,0,33,2,0,0,0,0,1,1,5,Mark Ripperger,"J.Montgomery (99-59), J.Holder (2-H), T.Kahnle (1-BW), D.Robertson (1), C.Shreve (99)",2018
6,Apr 4,,TBR,"W,7-2",9.0,6,2,2,0,1,9,0,0,3.46,32,117,80,1,1,0,0,30,1,0,0,0,1,0,2,3,Joe West,"L.Severino (5-66-W), A.Warren (3), A.Chapman (4)",2018
7,Apr 5,,BAL,"L,2-5",9.0,10,5,5,0,1,13,1,0,3.69,37,148,97,1,1,1,0,36,2,0,0,0,0,0,0,4,Ron Kulpa,"M.Tanaka (5-56-L), C.Green (3), A.Warren (0), D.Betances (4)",2018
8,Apr 6,,BAL,"L,3-7",14.0,9,7,6,1,8,16,4,1,3.72,61,265,161,0,0,0,0,51,0,0,0,1,0,2,1,8,Ed Hickox,"C.Sabathia (5-45), T.Kahnle (2), D.Betances (0), D.Robertson (2), A.Chapman (1), C.Green (0), C.Shreve (2), J.Holder (2-L)",2018
9,Apr 7,,BAL,"W,8-3",9.0,6,3,3,0,2,10,0,0,3.64,36,129,85,2,0,0,0,34,3,0,0,0,0,1,0,4,Jerry Meals,"S.Gray (5-54-W), A.Warren (1-H), D.Robertson (0-H), L.Cessa (99)",2018
10,Apr 8,,BAL,"L,7-8",12.0,16,8,8,0,4,15,2,0,3.94,54,226,148,0,0,2,0,50,1,0,0,0,0,0,2,7,Ben May,"J.Montgomery (4-29), D.German (99), D.Betances (1), A.Chapman (1), C.Shreve (1), D.Robertson (0), A.Warren (0-L)",2018
11,Apr 10,@,BOS,"L,1-14",8.0,11,14,8,6,7,10,1,1,4.33,44,161,97,2,2,1,0,34,4,1,0,0,2,1,0,4,Larry Vanover,"L.Severino (5-34-L), T.Kahnle (3), C.Shreve (1), L.Cessa (2)",2018
12,Apr 11,@,BOS,"W,10-7",9.0,10,7,7,0,2,8,2,0,4.54,38,154,95,0,0,0,0,36,3,0,0,0,0,0,1,4,Hunter Wendelstedt,"M.Tanaka (5-30-W), C.Green (4), D.Robertson (2), A.Chapman (2)",2018
13,Apr 12,@,BOS,"L,3-6",8.0,8,6,6,0,3,9,0,1,4.69,38,139,89,1,0,0,0,33,2,0,0,0,1,0,0,4,Chris Guccione,"S.Gray (4-22-L), D.German (3), T.Kahnle (1), A.Warren (3)",2018
14,Apr 13,@,DET,"W,8-6",9.0,12,6,6,0,0,11,2,0,4.78,39,161,108,3,1,0,0,38,3,0,0,0,1,0,0,5,Fieldin Culbreth,"J.Montgomery (4-54-W), D.Robertson (1), D.Betances (4), C.Green (1-H), A.Chapman (1-Sv)",2018
15,Apr 16,,MIA,"W,12-1",9.0,5,1,0,1,4,13,0,0,4.47,37,172,106,0,0,0,0,33,1,0,0,0,0,1,0,4,Lance Barrett,"L.Severino (5-77-W), A.Warren (3), C.Shreve (5), D.Betances (2)",2018
16,Apr 17,,MIA,"L,1-9",9.0,10,9,7,2,3,11,1,1,4.62,40,137,93,2,1,0,0,35,1,0,0,0,1,2,3,4,Nic Lentz,"M.Tanaka (5-32-L), L.Cessa (6), C.Green (3), D.Robertson (3)",2018
